id,function,category,description
GV.SC-09,GOVERN,Cybersecurity Supply Chain Risk Management,"Supply chain security practices are integrated into cybersecurity and enterprise risk management programs, and their performance is monitored throughout the technology product and service life cycle"
GV.SC-10,GOVERN,Cybersecurity Supply Chain Risk Management,"Cybersecurity supply chain risk management plans include provisions for activities that occur after the conclusion of a partnership or service agreement"
ID.AM-01,IDENTIFY,Asset Management,"Inventories of hardware managed by the organization are maintained"
ID.AM-02,IDENTIFY,Asset Management,"Inventories of software, services, and systems managed by the organization are maintained"
ID.AM-03,IDENTIFY,Asset Management,"Representations of the organization's authorized network communication and internal and external network data flows are maintained"
ID.AM-04,IDENTIFY,Asset Management,"Inventories of services provided by suppliers are maintained"
ID.AM-05,IDENTIFY,Asset Management,"Assets are prioritized based on classification, criticality, resources, and impact on the mission"
ID.AM-07,IDENTIFY,Asset Management,"Inventories of data and corresponding metadata for designated data types are maintained"
ID.AM-08,IDENTIFY,Asset Management,"Systems, hardware, software, services, and data are managed throughout their life cycles"
ID.RA-01,IDENTIFY,Risk Assessment,"Vulnerabilities in assets are identified, validated, and recorded"
ID.RA-02,IDENTIFY,Risk Assessment,"Cyber threat intelligence is received from information sharing forums and sources"
ID.RA-03,IDENTIFY,Risk Assessment,"Internal and external threats to the organization are identified and recorded"
ID.RA-04,IDENTIFY,Risk Assessment,"Potential impacts and likelihoods of threats exploiting vulnerabilities are identified and recorded"
ID.RA-05,IDENTIFY,Risk Assessment,"Threats, vulnerabilities, likelihoods, and impacts are used to understand inherent risk and inform risk response prioritization"
ID.RA-06,IDENTIFY,Risk Assessment,"Risk responses are chosen, prioritized, planned, tracked, and communicated"
ID.RA-07,IDENTIFY,Risk Assessment,"Changes and exceptions are managed, assessed for risk impact, recorded, and tracked"
ID.RA-08,IDENTIFY,Risk Assessment,"Processes for receiving, analyzing, and responding to vulnerability disclosures are established"
ID.RA-09,IDENTIFY,Risk Assessment,"The authenticity and integrity of hardware and software are assessed prior to acquisition and use"
ID.RA-10,IDENTIFY,Risk Assessment,"Critical suppliers are assessed prior to acquisition"
ID.IM-01,IDENTIFY,Improvement,"Improvements are identified from evaluations"
ID.IM-02,IDENTIFY,Improvement,"Improvements are identified from security tests and exercises, including those done in coordination with suppliers and relevant third parties"
ID.IM-03,IDENTIFY,Improvement,"Improvements are identified from execution of operational processes, procedures, and activities"
ID.IM-04,IDENTIFY,Improvement,"Incident response plans and other cybersecurity plans that affect operations are established, communicated, maintained, and improved"
PR.AA-01,PROTECT,"Identity Management, Authentication, and Access Control","Identities and credentials for authorized users, services, and hardware are managed by the organization"
PR.AA-02,PROTECT,"Identity Management, Authentication, and Access Control","Identities are proofed and bound to credentials based on the context of interactions"
PR.AA-03,PROTECT,"Identity Management, Authentication, and Access Control","Users, services, and hardware are authenticated"
PR.AA-04,PROTECT,"Identity Management, Authentication, and Access Control","Identity assertions are protected, conveyed, and verified"
PR.AA-05,PROTECT,"Identity Management, Authentication, and Access Control","Access permissions, entitlements, and authorizations are defined in a policy, managed, enforced, and reviewed, and incorporate the principles of least privilege and separation of duties"
PR.AA-06,PROTECT,"Identity Management, Authentication, and Access Control","Physical access to assets is managed, monitored, and enforced commensurate with risk"
PR.AT-01,PROTECT,Awareness and Training,"Personnel are provided with awareness and training so that they possess the knowledge and skills to perform general tasks with cybersecurity risks in mind"
PR.AT-02,PROTECT,Awareness and Training,"Individuals in specialized roles are provided with awareness and training so that they possess the knowledge and skills to perform relevant tasks with cybersecurity risks in mind"
PR.DS-01,PROTECT,Data Security,"The confidentiality, integrity, and availability of data-at-rest are protected"
PR.DS-02,PROTECT,Data Security,"The confidentiality, integrity, and availability of data-in-transit are protected"
PR.DS-10,PROTECT,Data Security,"The confidentiality, integrity, and availability of data-in-use are protected"
PR.DS-11,PROTECT,Data Security,"Backups of data are created, protected, maintained, and tested"
PR.PS-01,PROTECT,Platform Security,"Configuration management practices are established and applied"
PR.PS-02,PROTECT,Platform Security,"Software is maintained, replaced, and removed commensurate with risk"
PR.PS-03,PROTECT,Platform Security,"Hardware is maintained, replaced, and removed commensurate with risk"
PR.PS-04,PROTECT,Platform Security,"Log records are generated and made available for continuous monitoring"
PR.PS-05,PROTECT,Platform Security,"Installation and execution of unauthorized software are prevented"
PR.PS-06,PROTECT,Platform Security,"Secure software development practices are integrated and their performance is monitored throughout the software development life cycle"
PR.IR-01,PROTECT,Technology Infrastructure Resilience,"Networks and environments are protected from unauthorized logical access and usage"
PR.IR-02,PROTECT,Technology Infrastructure Resilience,"The organization's technology assets are protected from environmental threats"
PR.IR-03,PROTECT,Technology Infrastructure Resilience,"Mechanisms are implemented to achieve resilience requirements in normal and adverse situations"
PR.IR-04,PROTECT,Technology Infrastructure Resilience,"Adequate resource capacity to ensure availability is maintained"
DE.CM-01,DETECT,Continuous Monitoring,"Networks and network services are monitored to find potentially adverse events"
DE.CM-02,DETECT,Continuous Monitoring,"The physical environment is monitored to find potentially adverse events"
DE.CM-03,DETECT,Continuous Monitoring,"Personnel activity and technology usage are monitored to find potentially adverse events"
DE.CM-06,DETECT,Continuous Monitoring,"External service provider activities and services are monitored to find potentially adverse events"
DE.CM-09,DETECT,Continuous Monitoring,"Computing hardware and software, runtime environments, and their data are monitored to find potentially adverse events"
DE.AE-02,DETECT,Adverse Event Analysis,"Potentially adverse events are analyzed to better understand associated activities"
DE.AE-03,DETECT,Adverse Event Analysis,"Information is correlated from multiple sources"
DE.AE-04,DETECT,Adverse Event Analysis,"The estimated impact and scope of adverse events are understood"
DE.AE-06,DETECT,Adverse Event Analysis,"Information on adverse events is provided to authorized staff and tools"
DE.AE-07,DETECT,Adverse Event Analysis,"Cyber threat intelligence and other contextual information are integrated into the analysis"
DE.AE-08,DETECT,Adverse Event Analysis,"Incidents are declared when adverse events meet the defined incident criteria"
RS.MA-01,RESPOND,Incident Management,"The incident response plan is executed in coordination with relevant third parties once an incident is declared"
RS.MA-02,RESPOND,Incident Management,"Incident reports are triaged and validated"
RS.MA-03,RESPOND,Incident Management,"Incidents are categorized and prioritized"
RS.MA-04,RESPOND,Incident Management,"Incidents are escalated or elevated as needed"
RS.MA-05,RESPOND,Incident Management,"The criteria for initiating incident recovery are applied"
RS.AN-03,RESPOND,Incident Analysis,"Analysis is performed to establish what has taken place during an incident and the root cause of the incident"
RS.AN-06,RESPOND,Incident Analysis,"Actions performed during an investigation are recorded, and the records' integrity and provenance are preserved"
RS.AN-07,RESPOND,Incident Analysis,"Incident data and metadata are collected, and their integrity and provenance are preserved"
RS.AN-08,RESPOND,Incident Analysis,"An incident's magnitude is estimated and validated"
RS.CO-02,RESPOND,Incident Response Reporting and Communication,"Internal and external stakeholders are notified of incidents"
RS.CO-03,RESPOND,Incident Response Reporting and Communication,"Information is shared with designated internal and external stakeholders"
RS.MI-01,RESPOND,Incident Mitigation,"Incidents are contained"
RS.MI-02,RESPOND,Incident Mitigation,"Incidents are eradicated"
RC.RP-01,RECOVER,Incident Recovery Plan Execution,"The recovery portion of the incident response plan is executed once initiated from the incident response process"
RC.RP-02,RECOVER,Incident Recovery Plan Execution,"Recovery actions are selected, scoped, prioritized, and performed"
RC.RP-03,RECOVER,Incident Recovery Plan Execution,"The integrity of backups and other restoration assets is verified before using them for restoration"
RC.RP-04,RECOVER,Incident Recovery Plan Execution,"Critical mission functions and cybersecurity risk management are considered to establish post-incident operational norms"
RC.RP-05,RECOVER,Incident Recovery Plan Execution,"The integrity of restored assets is verified, systems and services are restored, and normal operating status is confirmed"
RC.RP-06,RECOVER,Incident Recovery Plan Execution,"The end of incident recovery is declared based on criteria, and incident-related documentation is completed"
RC.CO-03,RECOVER,Incident Recovery Communication,"Recovery activities and progress in restoring operational capabilities are communicated to designated internal and external stakeholders"
RC.CO-04,RECOVER,Incident Recovery Communication,"Public updates on incident recovery are shared using approved methods and messaging"
